id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,latent_x,latent_y,latent_coord,latent_vectors
100-1,1,Provider 1,Site0003_F_0000050,,1.996,2007-03-22T00:00:00Z,2007-03-22T00:00:01.996800Z,2007-03-22T00:00:00.638170Z,15385.0,,deteriorated line fuse.,PoW,Events::Defect or Deterioration::Equip Deterioration/r/nEquipment::Interrupting Device::Fuse,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",13.890456,-14.45455,"13.890456199645996,-14.454549789428711","[ 13.890456   -14.45455    -11.901342     4.46992    -16.404928
  -1.1406223  -15.75965    -17.220879   -10.701936    17.705774
   6.582381    -0.86589104 -15.183651     9.278157   -14.257356
  12.255395    -6.1600084   -7.5317965   17.323524    15.270756
  15.654074   -13.752649    13.130992    -9.198913    -3.5533001
 -12.839423   -13.715339    -9.441621   -11.124164    -5.6827617
  11.869284    -6.4116306  -16.781946    -8.331612     4.003378
 -15.920794     5.683324    14.534615    -7.34654    -18.348463
 -10.462193    -8.924459   -10.338214    14.709466   -16.3461
  -0.9926025   11.732735    14.802471   -16.201586   -17.098175
  14.671666     9.680819    15.718109    10.662317    -8.35123
  14.200037     6.2978215  -16.552515    -0.5800099   11.468042
  16.33705    -11.148635    10.540731    15.774046  ]"
100-2,1,Provider 1,Site0003_F_0000050,,1.996,2007-03-22T00:00:00Z,2007-03-22T00:00:01.996800Z,2007-03-22T00:00:00.638170Z,15385.0,,deteriorated line fuse.,PoW,Events::Defect or Deterioration::Equip Deterioration/r/nEquipment::Interrupting Device::Fuse,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",14.7283125,-13.521835,"14.728312492370605,-13.521835327148438","[ 14.7283125 -13.521835  -13.064829    6.1094804 -14.4592705  -6.667333
 -16.383408  -14.188853  -13.05831    18.573715   -4.36952    -6.462976
 -15.65361     7.0815387 -12.7334385  13.084788   -7.2240705 -13.528589
  15.001366   13.031601   14.338763  -13.249916   13.234202  -10.538014
  -6.2358193 -11.873713  -12.774516   -5.365461  -12.095578   -8.600067
  13.244855   -8.425812  -16.389217   -8.873479   -5.943586  -17.065966
  -2.4419382  14.682581    1.3063738 -18.649364  -11.498588   -8.757242
  -9.086162   13.238738  -14.278374    6.63085    13.874213   14.156146
 -12.268929  -14.510553   14.547035   11.66051    11.661556   12.811792
 -17.591505   10.262619    9.994912  -13.734373   -3.6819465  12.021541
  13.282894  -12.024562   10.99102    11.299752 ]"
101-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.303615Z,15385.0,,close last phase after truck hit p.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase-ground::Phase AG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",8.737995,-12.614019,"8.737995147705078,-12.614019393920898","[  8.737995  -12.614019  -11.312574   -6.5268984 -16.85709    -3.0116832
 -14.758664  -15.305554   -9.301033   10.625658   12.222609   -1.3313682
 -12.952436   16.515469  -12.473354   13.712728   -9.731961   -4.4354334
  15.209982   12.557172   14.755209  -10.150548   12.13189   -11.251635
 -11.471859  -15.23999   -10.883742  -21.65228   -11.9722     -8.43852
  12.057822   -8.813901  -13.763463  -12.136226   10.161829  -11.643385
  23.237556   12.980283   -4.5272083 -15.190957  -10.932132  -13.567772
 -12.947645   15.72506   -15.30894    -2.2468307   9.936113   10.359998
 -14.185918  -12.092722   13.1328745  10.135185   12.602046   10.5996275
   2.1765726  11.454794    4.8598065  -9.104535   -4.156764   12.629259
  15.977255  -11.961076   11.6705885  17.784492 ]"
101-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.303615Z,15385.0,,close last phase after truck hit p.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase-ground::Phase AG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",10.096585,-13.813879,"10.096585273742676,-13.813879013061523","[ 10.096585  -13.813879  -10.710001   -3.7569892 -17.978794    1.4430807
 -14.5955    -18.028967   -8.239452   12.697396   17.42659     2.4581463
 -13.441614   15.312218  -14.136737   12.659885   -7.7701693  -1.438991
  17.43525    14.904983   15.981409  -11.819096   12.355201   -9.710311
  -6.7471137 -14.997561  -12.486051  -19.838669  -11.057654   -5.525452
  11.056932   -6.6627693 -15.1365185 -10.418181   14.617123  -12.571043
  22.040323   13.405867  -11.2952175 -16.014454  -10.202625  -11.970253
 -12.827582   16.264708  -16.97513    -6.9131985   9.222813   12.487334
 -17.476868  -15.563581   13.731125    8.522447   16.513952    9.151355
   4.756563   15.056446    2.9561975 -13.697954   -0.8305132  11.851994
  18.021023  -11.059561   10.9376135  19.847012 ]"
102-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.805740Z,15385.0,,close another phase.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Phase B/r/nPhase::Single-phase-ground::Phase BG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",13.583743,-14.814562,"13.58374309539795,-14.81456184387207","[ 13.583743   -14.814562   -11.671465     3.3141317  -17.22745
   0.41239157 -15.758711   -18.225021   -10.079399    17.274841
  10.172602     0.7190381  -15.105935    10.437222   -14.852702
  12.288873    -6.0928597   -5.664542    18.083134    15.959318
  16.317305   -13.996328    13.188514    -9.079635    -3.275083
 -13.384119   -14.061094   -11.406858   -11.052855    -5.076802
  11.624277    -6.0551615  -16.96443     -8.525668     7.103185
 -15.560592     9.048261    14.550905    -9.751987   -18.282448
 -10.342709    -9.293259   -10.892749    15.349929   -16.949747
  -3.2350209   11.165501    14.963716   -17.413961   -17.803226
  14.839799     9.229528    16.905634    10.117571    -5.2325015
  15.433353     5.195189   -17.275553     0.08539345  11.507369
  17.381252   -11.060554    10.61888     17.412012  ]"
102-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.805740Z,15385.0,,close another phase.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Phase B/r/nPhase::Single-phase-ground::Phase BG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",14.846183,-14.312759,"14.846182823181152,-14.312759399414062","[ 14.846183   -14.312759   -12.834829     5.890256   -15.585243
  -4.049639   -16.42879    -15.997596   -12.258075    18.8224
   0.5074737   -3.830778   -15.820866     7.9286246  -13.818645
  12.92609     -6.674033   -11.094824    16.44336     14.4378195
  15.347618   -13.990292    13.52575    -10.0008745   -4.728411
 -12.487574   -13.652303    -6.7809405  -11.792596    -7.171802
  12.824435    -7.518507   -17.025766    -8.616452    -1.6672143
 -16.972113     0.52982897  14.895903    -2.880626   -18.986416
 -11.162518    -8.757941    -9.744674    14.158677   -15.506875
   3.2557251   13.193698    14.929886   -14.478797   -16.293098
  14.928959    10.928945    13.9352455   12.020308   -14.14994
  12.489748     8.501479   -15.762695    -2.1315222   11.947336
  15.018829   -11.847942    11.023612    13.600828  ]"
103-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,close phase A after pole repair.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Nonspecific Single-phase,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",14.020403,-14.668486,"14.020402908325195,-14.668485641479492","[ 14.020403   -14.668486   -12.0002       4.2843957  -16.776173
  -0.8653531  -15.926489   -17.526522   -10.729546    17.777933
   7.231804    -0.562173   -15.296904     9.596409   -14.531772
  12.486059    -6.1933413   -7.297385    17.650877    15.555071
  16.002182   -13.977356    13.246376    -9.282946    -3.6161094
 -13.055879   -13.936095    -9.883842   -11.245786    -5.6841702
  11.987374    -6.4257116  -16.982538    -8.4677       4.430424
 -15.970263     6.310669    14.629995    -7.746926   -18.534554
 -10.474731    -9.007173   -10.460524    14.882983   -16.485464
  -1.3369808   11.735808    15.009224   -16.595543   -17.351168
  14.804513     9.697447    16.037466    10.671983    -7.983068
  14.540108     6.1837263  -16.87897     -0.50932395  11.584366
  16.636719   -11.301315    10.721194    16.21914   ]"
103-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,close phase A after pole repair.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Nonspecific Single-phase,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",15.057595,-14.141288,"15.057595252990723,-14.141287803649902","[ 15.057595  -14.141288  -13.261135    5.928697  -15.287707   -5.581324
 -16.764809  -15.349172  -12.907224   18.929476   -2.1324182  -5.3494353
 -15.9664      7.632585  -13.544618   13.330289   -7.1432624 -12.642994
  15.921656   13.98246    15.259686  -13.958041   13.648675  -10.483588
  -5.6835756 -12.499204  -13.440969   -6.1485453 -12.178247   -8.038606
  13.297081   -8.140215  -17.004566   -8.975982   -4.1857862 -17.305056
  -0.9701062  15.039273   -0.596468  -19.126293  -11.574743   -8.952238
  -9.585544   13.956377  -14.930201    5.1855474  13.846515   14.826207
 -13.585259  -15.633144   15.056956   11.586931   12.932657   12.662239
 -16.392473   11.598925    9.447824  -15.056931   -3.0861156  12.244101
  14.394316  -12.143302   11.267053   12.697458 ]"
104-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,truck hit pole sub breaker 1225 33.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",14.020403,-14.668486,"14.020402908325195,-14.668485641479492","[ 14.020403   -14.668486   -12.0002       4.2843957  -16.776173
  -0.8653531  -15.926489   -17.526522   -10.729546    17.777933
   7.231804    -0.562173   -15.296904     9.596409   -14.531772
  12.486059    -6.1933413   -7.297385    17.650877    15.555071
  16.002182   -13.977356    13.246376    -9.282946    -3.6161094
 -13.055879   -13.936095    -9.883842   -11.245786    -5.6841702
  11.987374    -6.4257116  -16.982538    -8.4677       4.430424
 -15.970263     6.310669    14.629995    -7.746926   -18.534554
 -10.474731    -9.007173   -10.460524    14.882983   -16.485464
  -1.3369808   11.735808    15.009224   -16.595543   -17.351168
  14.804513     9.697447    16.037466    10.671983    -7.983068
  14.540108     6.1837263  -16.87897     -0.50932395  11.584366
  16.636719   -11.301315    10.721194    16.21914   ]"
104-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,truck hit pole sub breaker 1225 33.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",15.057596,-14.1413,"15.057596206665039,-14.141300201416016","[ 15.057596   -14.1413     -13.261138     5.928696   -15.287698
  -5.581328   -16.764809   -15.349179   -12.907233    18.929491
  -2.132419    -5.3494334  -15.96641      7.632579   -13.544611
  13.330287    -7.143256   -12.642994    15.921648    13.982444
  15.259676   -13.958033    13.648679   -10.483594    -5.683574
 -12.499208   -13.44096     -6.1485453  -12.178244    -8.038611
  13.297088    -8.140215   -17.004545    -8.975982    -4.185784
 -17.305073    -0.97010523  15.039261    -0.59646904 -19.1263
 -11.574751    -8.952232    -9.585537    13.956382   -14.930185
   5.1855464   13.846512    14.826209   -13.58526    -15.63315
  15.056965    11.586919    12.932661    12.662249   -16.392454
  11.598917     9.447824   -15.056938    -3.0861144   12.244099
  14.39431    -12.1433115   11.2670555   12.697466  ]"
105-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.148460Z,15385.0,,breaker reclose from truck hiting,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Recloser,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",15.031206,-12.85306,"15.031206130981445,-12.853059768676758","[ 15.031206  -12.85306   -14.912394    6.0659437 -13.489078  -12.016429
 -17.60169   -11.711919  -15.992669   19.82524   -13.546349  -11.409445
 -16.79323     6.81097   -11.396412   15.187574   -8.8877125 -19.132444
  13.385101   11.021313   13.358184  -12.633348   14.138911  -12.644432
 -10.09628   -12.1817255 -11.962542   -3.789302  -13.767863  -11.9173565
  15.30171   -10.710245  -16.827116  -10.62462   -13.644363  -18.180258
  -6.98653    15.006115    9.185774  -19.698473  -13.02916    -9.888725
  -8.885188   13.062346  -13.196875   13.46931    16.471558   13.104145
  -8.920847  -12.192131   14.53828    14.099701    8.057899   15.64208
 -25.627821    6.655843   13.573355  -10.981045   -7.1574206  13.3497925
  11.048456  -13.3199625  12.159362    7.9084525]"
105-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.148460Z,15385.0,,breaker reclose from truck hiting,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Recloser,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",12.088354,-10.320741,"12.088354110717773,-10.320740699768066","[ 12.088354  -10.320741  -14.425362    1.3764511 -11.240429  -16.482248
 -16.073881   -7.5054364 -15.846319   14.991238  -18.405306  -15.301034
 -14.679161    8.260416   -8.458018   15.059945  -11.035465  -20.760496
   9.393562    7.057496   11.075482   -9.374391   12.6031065 -13.753982
 -15.597973  -11.751229   -8.91628    -6.823341  -14.124729  -14.849013
  15.27242   -12.936279  -13.470327  -12.17677   -17.302162  -15.627926
  -3.6585379  13.435519   16.732107  -16.753368  -13.100475  -11.412027
  -8.609188   11.335532  -10.240021   17.763573   15.993012    9.521569
  -4.1548605  -6.4206734  12.770665   15.08288     2.40667    15.997305
 -25.087027    1.475469   14.888392   -3.8084252 -10.772889   13.4045315
   7.5903172 -13.704066   12.427588    4.8272033]"
