id,sigTypeId,dataSource,deviceName,deviceType,waveDuration,waveStartTimestamp,waveEndTimestamp,eventStartTimestamp,samplingRate,faultType,description,dataType,eventTags,eventTagsBi,eventTags_color,embedding_x,embedding_y,embedding_coord,embedding_vectors
100-1,1,Provider 1,Site0003_F_0000050,,1.996,2007-03-22T00:00:00Z,2007-03-22T00:00:01.996800Z,2007-03-22T00:00:00.638170Z,15385.0,,deteriorated line fuse.,PoW,Events::Defect or Deterioration::Equip Deterioration/r/nEquipment::Interrupting Device::Fuse,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.2543398,-0.37842828,"-0.2543398141860962,-0.37842828035354614","[-2.5433981e-01 -3.7842828e-01  2.7574319e-01  2.2404674e-01
  1.4288889e-01 -1.7713539e-01  1.0328427e-01  2.5831744e-01
 -9.5607385e-02 -2.6469409e-02 -4.9449691e-01  7.3847860e-02
  8.6225778e-02  5.3012300e-01  3.2399222e-04  4.0635698e-02
  3.5480034e-01  2.7168906e-01 -1.5800251e-01  3.0820191e-01
  2.4312308e-01  1.5508078e-02 -2.9856843e-01  2.9556221e-01
 -2.4708442e-02 -1.8733546e-01  5.2204520e-02 -4.8452380e-01
 -3.9634442e-01  1.9765167e-01  3.7116212e-01  5.5614579e-01]"
100-2,1,Provider 1,Site0003_F_0000050,,1.996,2007-03-22T00:00:00Z,2007-03-22T00:00:01.996800Z,2007-03-22T00:00:00.638170Z,15385.0,,deteriorated line fuse.,PoW,Events::Defect or Deterioration::Equip Deterioration/r/nEquipment::Interrupting Device::Fuse,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.25508383,-0.380435,"-0.255083829164505,-0.3804349899291992","[-0.25508383 -0.380435    0.27292895  0.2252702   0.14603285 -0.18067268
  0.09635405  0.264169   -0.09513056 -0.02559974 -0.49801084  0.07082883
  0.08734868  0.5304607  -0.00726851  0.04488314  0.35223767  0.26867986
 -0.16085714  0.30310374  0.24375007  0.01783234 -0.29606867  0.29743135
 -0.02126378 -0.18557641  0.05342096 -0.48327374 -0.3915268   0.20012878
  0.3793915   0.55717707]"
101-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.303615Z,15385.0,,close last phase after truck hit p.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase-ground::Phase AG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.25392455,-0.36610973,"-0.25392454862594604,-0.3661097288131714","[-0.25392455 -0.36610973  0.27405962  0.21185145  0.14816733 -0.1602634
  0.11063954  0.24530742 -0.09135257 -0.03177607 -0.4883572   0.08268173
  0.09485178  0.51613146 -0.00225887  0.04874726  0.3551438   0.2668474
 -0.15989876  0.29746392  0.25603294  0.01271383 -0.29278934  0.30518228
 -0.0201595  -0.18285586  0.04330325 -0.4679004  -0.40078855  0.19910811
  0.35729533  0.5542855 ]"
101-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.303615Z,15385.0,,close last phase after truck hit p.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase-ground::Phase AG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.25342077,-0.37037086,"-0.25342077016830444,-0.37037086486816406","[-0.25342077 -0.37037086  0.27430588  0.21585895  0.144797   -0.1635316
  0.1100301   0.24741307 -0.09159865 -0.03034821 -0.4896834   0.08012955
  0.08826515  0.5200843   0.00331078  0.04345338  0.3560951   0.2714379
 -0.15834533  0.3042632   0.250426    0.01247312 -0.29586184  0.29989046
 -0.02408864 -0.18548483  0.04551362 -0.47429875 -0.4006695   0.1962344
  0.35917437  0.55368006]"
102-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.805740Z,15385.0,,close another phase.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Phase B/r/nPhase::Single-phase-ground::Phase BG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.25553292,-0.37709564,"-0.2555329203605652,-0.37709563970565796","[-0.25553292 -0.37709564  0.273524    0.22314388  0.14282972 -0.17428517
  0.10438802  0.2567499  -0.09507451 -0.02702891 -0.49450788  0.07433998
  0.08418639  0.5287078   0.00237983  0.03974462  0.35403585  0.27367753
 -0.15777591  0.30896026  0.24098586  0.01644974 -0.29749966  0.29524142
 -0.02827317 -0.18746008  0.05056678 -0.48482615 -0.39678526  0.19486944
  0.36976457  0.5560744 ]"
102-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.805740Z,15385.0,,close another phase.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Phase B/r/nPhase::Single-phase-ground::Phase BG,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.26376876,-0.37045455,"-0.2637687623500824,-0.3704545497894287","[-0.26376876 -0.37045455  0.24625652  0.19816391  0.15610826 -0.17937696
  0.10851581  0.2559122  -0.08675687 -0.02624492 -0.49488524  0.06060979
  0.09143254  0.5215932   0.00260293  0.07627679  0.35755393  0.2930965
 -0.15149195  0.3022306   0.26287752 -0.00845105 -0.30028635  0.29012203
 -0.0156367  -0.17989123  0.05234063 -0.47162014 -0.4169775   0.20227309
  0.3486497   0.5477432 ]"
103-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,close phase A after pole repair.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Nonspecific Single-phase,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.2594304,-0.37203407,"-0.2594304084777832,-0.37203407287597656","[-0.2594304  -0.37203407  0.24954845  0.19263211  0.15712555 -0.17116943
  0.11272466  0.2518783  -0.08462505 -0.02394119 -0.4925806   0.06314972
  0.0917055   0.51734114  0.00438616  0.07260707  0.3626435   0.29190356
 -0.15149896  0.29898712  0.27169317 -0.01007992 -0.30237842  0.29163796
 -0.01626554 -0.17911586  0.05314922 -0.46488017 -0.4244616   0.20109183
  0.3419052   0.5502428 ]"
103-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,close phase A after pole repair.,PoW,State::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nPhase::Single-phase::Nonspecific Single-phase,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.261711,-0.36947173,"-0.2617110013961792,-0.3694717288017273","[-0.261711   -0.36947173  0.24203743  0.19799744  0.1573751  -0.17993276
  0.10485517  0.25785482 -0.09003916 -0.02684014 -0.4990068   0.05919005
  0.09037204  0.5218133  -0.00257278  0.07820183  0.35511896  0.29287738
 -0.15290657  0.30104375  0.25822014 -0.0053988  -0.29578787  0.29093552
 -0.01561082 -0.17825967  0.05454619 -0.47176024 -0.41223988  0.2010005
  0.35674262  0.54817903]"
104-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,truck hit pole sub breaker 1225 33.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.2594304,-0.37203407,"-0.2594304084777832,-0.37203407287597656","[-0.2594304  -0.37203407  0.24954845  0.19263211  0.15712555 -0.17116943
  0.11272466  0.2518783  -0.08462505 -0.02394119 -0.4925806   0.06314972
  0.0917055   0.51734114  0.00438616  0.07260707  0.3626435   0.29190356
 -0.15149896  0.29898712  0.27169317 -0.01007992 -0.30237842  0.29163796
 -0.01626554 -0.17911586  0.05314922 -0.46488017 -0.4244616   0.20109183
  0.3419052   0.5502428 ]"
104-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.936325Z,15385.0,,truck hit pole sub breaker 1225 33.,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker/r/nEquipment::Substation::Nonspecific Substation,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.261711,-0.36947173,"-0.2617110013961792,-0.3694717288017273","[-0.261711   -0.36947173  0.24203743  0.19799744  0.1573751  -0.17993276
  0.10485517  0.25785482 -0.09003916 -0.02684014 -0.4990068   0.05919005
  0.09037204  0.5218133  -0.00257278  0.07820183  0.35511896  0.29287738
 -0.15290657  0.30104375  0.25822014 -0.0053988  -0.29578787  0.29093552
 -0.01561082 -0.17825967  0.05454619 -0.47176024 -0.41223988  0.2010005
  0.35674262  0.54817903]"
105-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.148460Z,15385.0,,breaker reclose from truck hiting,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Recloser,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.20855618,-0.44148147,"-0.2085561752319336,-0.44148147106170654","[-0.20855618 -0.44148147  0.10825846  0.16257256  0.21273765 -0.05397378
  0.13440835  0.27107817 -0.08360287  0.00102165 -0.51784176  0.02851491
 -0.05295103  0.4406492   0.01152585  0.04722527  0.3104324   0.33525252
 -0.17211059  0.33988336  0.24201465 -0.01213323 -0.2737627   0.29452878
 -0.09063807 -0.16876101  0.03819422 -0.39750215 -0.48476976  0.07990883
  0.3431254   0.5685687 ]"
105-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.148460Z,15385.0,,breaker reclose from truck hiting,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Close/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Recloser,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.20461975,-0.46289188,"-0.20461975038051605,-0.4628918766975403","[-0.20461975 -0.46289188  0.11623687  0.1663455   0.21661136 -0.05987844
  0.12473955  0.29122627 -0.06720539  0.00382647 -0.518784    0.03973275
 -0.06550454  0.43424314  0.00115293  0.04108681  0.29458523  0.33221543
 -0.18969646  0.32534665  0.22726057 -0.01291153 -0.28062987  0.2976382
 -0.08086893 -0.18682802  0.05963914 -0.38786876 -0.4640849   0.08667992
  0.35364574  0.5707686 ]"
106-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.225680Z,15385.0,,truck hit pole 1225 33rd st shot3c,PoW,Events::External::Motor Vehicle Accident/r/nEquipment::Overhead Equipment::Pole,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.18917811,-0.4750445,"-0.18917810916900635,-0.47504448890686035","[-1.8917811e-01 -4.7504449e-01  1.2249119e-01  1.6487984e-01
  2.1551001e-01 -5.9011269e-02  1.2739444e-01  2.9572159e-01
 -6.4263836e-02  8.2912371e-03 -5.2476370e-01  4.4424362e-02
 -6.9455445e-02  4.4450605e-01 -1.3695568e-02  2.2166409e-02
  3.0473223e-01  3.4051943e-01 -1.9859461e-01  3.1755307e-01
  2.2334334e-01 -4.7512352e-05 -2.7387446e-01  2.9262763e-01
 -8.3909005e-02 -1.9211255e-01  6.7728475e-02 -3.8815057e-01
 -4.6045822e-01  8.5673049e-02  3.7250257e-01  5.7488215e-01]"
106-2,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.225680Z,15385.0,,truck hit pole 1225 33rd st shot3c,PoW,Events::External::Motor Vehicle Accident/r/nEquipment::Overhead Equipment::Pole,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.19255853,-0.4723999,"-0.19255852699279785,-0.47239989042282104","[-0.19255853 -0.4723999   0.12372573  0.1658363   0.21518216 -0.06227475
  0.12456354  0.29380855 -0.06765017  0.00953954 -0.52295536  0.04332265
 -0.06782237  0.4466046  -0.01454914  0.02460913  0.30340707  0.3397889
 -0.19871247  0.3159457   0.2253741   0.00363305 -0.26987207  0.29031402
 -0.08314075 -0.18590567  0.06553878 -0.38714474 -0.45910373  0.08534317
  0.3740539   0.5761832 ]"
107-1,1,Provider 1,Site0002_F_0000047,,1.996,2007-02-07T00:00:00Z,2007-02-07T00:00:01.996800Z,2007-02-07T00:00:00.611130Z,15385.0,,truck hit pole breaker 1225 33rd s,PoW,Events::External::Motor Vehicle Accident/r/nState::Change State::Open/r/nEquipment::Overhead Equipment::Pole/r/nEquipment::Interrupting Device::Circuit Breaker,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","(0.050383, 0.029803, 0.527975, 1.0)",-0.29764748,-0.3571347,"-0.29764747619628906,-0.35713469982147217","[-0.29764748 -0.3571347   0.13916469  0.21520996  0.13192995 -0.13933887
  0.21370618  0.18254012 -0.1400649   0.06594414 -0.4781029  -0.00454432
  0.01441024  0.5176018   0.09156334  0.00093214  0.3749005   0.36365813
 -0.11350678  0.40380174  0.34267926 -0.06137247 -0.3154496   0.28671718
 -0.21681781 -0.19638412  0.00463414 -0.53648984 -0.5677067   0.04804289
  0.2744962   0.5774864 ]"
